,ClimateZone,Case,PUE_quantiles,WUE_quantiles,CoolingSystem
0,1A,0,"[1.21743505, 1.2749850500000002, 1.3099748500000001, 1.346111025, 1.380756845]","[0.016970590874552702, 0.02273398172110315, 0.029805812053382348, 0.038653133437037426, 0.046857336722314326]",Airside economizer& adiabatic cooling (air-cooled chiller)
1,1A,1,"[1.1590572350000001, 1.186878075, 1.2315675499999998, 1.257410525, 1.29374281]","[0.8700836449861526, 1.2842563688755035, 1.6873466968536377, 1.993319422006607, 2.1646822333335884]",Airside economizer& adiabatic cooling (water-cooled chiller)
2,1A,10,"[2.01128023, 2.084239825, 2.1617637, 2.328308275, 2.527231455]","[0.02614357220008967, 0.0434401081874966, 0.063178651034832, 0.08673457056283947, 0.10262354947626581]",Direct expansion system
3,1A,11,"[1.74963869, 1.8655450249999999, 1.97907885, 2.149220925, 2.29889414]","[0.024532783403992606, 0.0411724736914038, 0.0625274181365966, 0.08075731061398977, 0.09716494269669053]",Direct expansion system
4,1A,12,"[1.91040736, 2.00342705, 2.08096365, 2.295642575, 2.482160625]","[0.02254082178696984, 0.03520071413367985, 0.055250134319066946, 0.0780818667262792, 0.09255159385502333]",Airside economizer (direct expansion system)
5,1A,13,"[1.657000665, 1.698755175, 1.80896065, 1.950831525, 2.1340277149999998]","[0.018651631660759393, 0.02802188042551275, 0.03952787630259985, 0.05073778145015235, 0.07146274037659162]",Airside economizer (direct expansion system)
6,1A,17,"[1.760783045, 1.8318151500000002, 1.91721355, 2.08047405, 2.36748638]","[0.024985222052782686, 0.0400158194825053, 0.05877336673438545, 0.08181362412869927, 0.09737392775714394]",Dry cooler (air-cooled chiller)
7,1A,3,"[1.41210672, 1.5128316000000002, 1.581041, 1.6366619, 1.692908825]","[1.747866940498352, 1.9573667943477626, 2.1281570196151733, 2.298054873943329, 2.498159408569336]",Airside economizer& (water-cooled chiller)
8,1A,4,"[1.33966125, 1.38148775, 1.4348944000000001, 1.4883707, 1.528656975]","[2.1259382128715516, 2.2883257865905766, 2.5381311178207397, 2.693756878376007, 2.9133589625358582]",Waterside economizer& (water-cooled chiller)
9,1A,5,"[1.541709245, 1.6086397, 1.6345025, 1.685207975, 1.74285388]","[2.789995753765106, 2.966113269329071, 3.1690714359283447, 3.354606568813324, 3.801739811897278]",Water-cooled chiller
10,1A,6,"[1.63326645, 1.74126785, 1.8193096500000001, 1.972094175, 2.1646460949999997]","[0.015136943943798475, 0.024823723826557325, 0.0461934674531221, 0.0551536483690142, 0.06720314249396321]",Airside economizer& (air-cooled chiller)
11,1A,7,"[1.76780796, 1.870315525, 1.9499724999999999, 2.131848175, 2.5162617299999996]","[0.02506747059524055, 0.0400603245943784, 0.0607583839446306, 0.08121067658066745, 0.09555380828678604]",Air-cooled chiller
12,1A,8,"[1.73905053, 1.787685975, 1.8695384499999999, 1.9591205250000001, 2.09111579]","[3.111093759536743, 3.417164385318756, 3.632517457008362, 3.8554412126541133, 4.053374814987182]",Water-cooled chiller
13,1A,9,"[1.941984375, 2.03951255, 2.18593025, 2.359731625, 2.7063624899999996]","[0.025789470318704825, 0.042517639696598025, 0.0634277053177356, 0.08391376025974742, 0.10148778632283202]",Air-cooled chiller
14,2A,0,"[1.169124225, 1.220423075, 1.2640002, 1.3013659, 1.358022565]","[0.011104421457275686, 0.018586525693535725, 0.0245521897450089, 0.03187266085296868, 0.04290120340883725]",Airside economizer& adiabatic cooling (air-cooled chiller)
15,2A,1,"[1.1196278100000001, 1.161921275, 1.2016909999999998, 1.2334642, 1.270772235]","[0.6044616848230362, 0.9972760081291199, 1.2798718810081482, 1.545024424791336, 1.9134785413742066]",Airside economizer& adiabatic cooling (water-cooled chiller)
16,2A,10,"[1.93563345, 2.029169975, 2.12508105, 2.2884547250000002, 2.448698575]","[0.025166173465549932, 0.04202817752957343, 0.06366083025932309, 0.08571897819638251, 0.10368503332138053]",Direct expansion system
17,2A,11,"[1.7053746, 1.8212850500000002, 1.9223184500000001, 2.080494175, 2.27834251]","[0.02365581719204777, 0.03946926910430192, 0.06005456671118735, 0.08046294935047624, 0.09822026528418058]",Direct expansion system
18,2A,12,"[1.771767215, 1.880973575, 1.9744286500000001, 2.08924635, 2.263831405]","[0.019557112734764782, 0.02998751960694785, 0.04693131707608695, 0.0638083536177873, 0.08144548721611494]",Airside economizer (direct expansion system)
