"county_name","county_fips","state_abbv"
"Mohave County","04015","AZ"
"Flagler County","12035","FL"
"Morton County","20129","KS"
"Marshall County","28093","MS"
"St. Louis city","29510","MO"
"McKinley County","35031","NM"
"Washington County","37187","NC"
"Burke County","38013","ND"
"Newport News city","51700","VA"
"Logan County","20109","KS"
"Randolph County","13243","GA"
"Jefferson County","17081","IL"
"Hancock County","19081","IA"
"Wright County","19197","IA"
"Martin County","18101","IN"
"Greene County","19073","IA"
"Perry County","28111","MS"
"St. Clair County","29185","MO"
"Saline County","31151","NE"
"Barnes County","38003","ND"
"Lyman County","46085","SD"
"Walworth County","46129","SD"
"Reagan County","48383","TX"
"Wise County","48497","TX"
"Wasatch County","49051","UT"
"Kittitas County","53037","WA"
"Eau Claire County","55035","WI"
"Sawyer County","55113","WI"
"Gray County","20069","KS"
"Richland County","17159","IL"
"Aitkin County","27001","MN"
"Santa Barbara County","06083","CA"
"Floyd County","13115","GA"
"Miami County","20121","KS"
"Allegan County","26005","MI"
"St. Joseph County","26149","MI"
"Scotts Bluff County","31157","NE"
"Erie County","42049","PA"
"Dale County","01045","AL"
"St. Francis County","05123","AR"
"Glades County","12043","FL"
"Macoupin County","17117","IL"
"Johnson County","18081","IN"
"Blackford County","18009","IN"
"Tate County","28137","MS"
"Moniteau County","29135","MO"
"Butler County","31023","NE"
"Potter County","46107","SD"
"McCook County","46087","SD"
"Dimmit County","48127","TX"
"Adams County","53001","WA"
"Taylor County","54091","WV"
"Lincoln Parish","22061","LA"
"Cherokee County","19035","IA"
"Cedar County","19031","IA"
"Donley County","48129","TX"
"Upton County","48461","TX"
"Sarasota County","12115","FL"
"Stephenson County","17177","IL"
"Nobles County","27105","MN"
"Lincoln County","29113","MO"
"Jefferson County","31095","NE"
"Warren County","37185","NC"
"Van Wert County","39161","OH"
"Cass County","48067","TX"
"Racine County","55101","WI"
"Anderson County","21005","KY"
"Ogle County","17141","IL"
"Warren County","19181","IA"
"Wilson County","20205","KS"
"Calhoun County","26025","MI"
"Pontotoc County","28115","MS"
"Sherman County","31163","NE"
"Franklin city","51620","VA"
"Portage County","55097","WI"
"Clinton County","18023","IN"
