,zipcode,county,state,latitude,longitude
0,13309,Oneida County,NY,43.4678157,-75.3178952
1,34785,Sumter County,FL,28.8356269,-82.06250519999999
2,46960,Pulaski County,IN,41.1681788,-86.51986509999999
3,54552,Price County,WI,45.9416921,-90.2707643
4,62035,Madison County,IL,38.9665543,-90.2432307
5,62988,Alexander County,IL,37.2309597,-89.3037147
6,66515,Brown County,KS,39.9435193,-95.7089241
7,84111,Salt Lake County,UT,40.7569389,-111.8836874
8,63330,Pike County,MO,39.2659734,-90.8008388
9,62014,Macoupin County,IL,39.0502219,-89.9440061
10,64060,Clay County,MO,39.3729059,-94.387352
11,95589,Humboldt County,CA,40.0203165,-123.9688785
12,13667,St. Lawrence County,NY,44.83606289999999,-74.9377963
13,30276,Coweta County,GA,33.2749296,-84.56414699999999
14,98858,Douglas County,WA,47.6997756,-119.8740118
15,29470,Charleston County,SC,32.8109461,-80.254435
16,18977,Bucks County,PA,40.2759571,-74.86825689999999
17,28726,Henderson County,NC,35.2788129,-82.4156829
18,97380,Lincoln County,OR,44.7691531,-123.9016666
19,69345,Banner County,NE,41.5903148,-103.8680047
20,76501,Bell County,TX,31.082147,-97.2437105
21,70355,Lafourche Parish,LA,29.6723954,-90.4313729
22,87514,Taos County,NM,36.53866560000001,-105.5357139
23,26852,Hampshire County,WV,39.2585819,-78.9401383
24,28439,Columbus County,NC,34.29170060000001,-79.0306032
25,48014,St. Clair County,MI,43.0145327,-82.92864279999999
26,50479,Cerro Gordo County,IA,42.9497279,-93.3993751
27,59337,Garfield County,MT,47.4186461,-106.6510617
28,61047,Ogle County,IL,42.1358374,-89.3795835
29,82240,Goshen County,WY,42.3666776,-104.1930918
30,63034,St. Louis County,MO,38.8515561,-90.2901815
31,77044,Harris County,TX,29.8963788,-95.1640605
32,12923,Clinton County,NY,,
33,52227,Linn County,IA,41.8990389,-91.5693045
34,03281,Hillsborough County,NH,43.0900107,-71.7385225
35,68457,Richardson County,NE,40.1576591,-95.7194522
36,43013,Licking County,OH,40.2318815,-82.7023383
37,08511,Burlington County,NJ,40.04332,-74.5521869
38,68836,Buffalo County,NE,40.717383,-99.389511
39,88047,Doña Ana County,NM,32.20738,-106.7057733
40,15027,Beaver County,PA,40.6639104,-80.2404959
41,46071,Boone County,IN,40.1160195,-86.6006249
42,58643,Slope County,ND,46.3957145,-103.9638652
43,59602,Lewis and Clark County,MT,46.7815672,-111.9205455
44,04451,Penobscot County,ME,,
45,38401,Maury County,TN,35.6603272,-87.0224442
46,95472,Sonoma County,CA,38.4067427,-122.8761309
47,10901,Rockland County,NY,41.1411152,-74.1357407
48,73848,Beaver County,OK,36.6588867,-100.0359661
49,56255,Redwood County,MN,44.4032506,-95.4149003
50,03852,Strafford County,NH,43.49932,-70.977763
51,29638,Abbeville County,SC,34.3785055,-82.32348429999999
52,20710,Prince George's County,MD,38.938237,-76.9326167
53,31044,Twiggs County,GA,32.6554564,-83.357567
54,21542,Allegany County,MD,39.5912713,-78.95039050000001
55,32424,Calhoun County,FL,30.3682347,-85.1271907
56,43316,Wyandot County,OH,40.95147610000001,-83.4003037
57,47247,Bartholomew County,IN,39.0593125,-85.8876372
58,06029,Tolland County,CT,41.9223813,-72.4613191
59,58520,Morton County,ND,46.6720967,-101.5158616
60,29707,Lancaster County,SC,34.967837,-80.8433145
61,03874,Rockingham County,NH,42.8889035,-70.85361639999999
62,44820,Crawford County,OH,40.86445519999999,-82.95015579999999
63,12970,DKI Jakarta,Daerah Khusus Ibukota Jakarta,-6.2103891,106.8399623
64,02420,Middlesex County,MA,42.4609077,-71.2220832
65,03462,Cheshire County,NH,42.895617,-72.4021423
66,20841,Montgomery County,MD,39.1943427,-77.3209555
67,12809,Washington County,NY,,
68,53021,Ozaukee County,WI,43.4952136,-88.0020589
69,14218,Erie County,NY,42.8168447,-78.83260159999999
70,31650,Atkinson County,GA,31.3697794,-83.01465259999999
71,52746,Scott County,IA,41.7089309,-90.6678177
72,23168,James City County,VA,37.4170478,-76.8144298
73,02332,Plymouth County,MA,42.0342172,-70.70495199999999
74,31907,Muscogee County,GA,32.4559867,-84.87763919999999
75,32810,Orange County,FL,28.6235111,-81.4246931
76,04859,Knox County,ME,43.9959201,-69.1422929
77,46236,Marion County,IN,39.8911749,-85.9570913
78,01545,Worcester County,MA,42.2834603,-71.726659
79,88255,Tübingen,BW,47.8415286,9.6715776
80,72529,Sharp County,AR,36.2856157,-91.5499211
81,44826,Huron County,OH,41.2462053,-82.48610529999999
82,73139,Oklahoma County,OK,35.3810878,-97.5193093
