"","x"
"1","36522"
"2","35586"
"3","33161"
"4","32204"
"5","11709"
"6","92678"
"7","95677"
"8","94931"
"9","96713"
"10","96793"
"11","50629"
"12","51537"
"13","50105"
"14","52066"
"15","46039"
"16","07670"
"17","71485"
"18","70601"
"19","04284"
"20","04555"
"21","71430"
"22","91301"
"23","90262"
"24","96106"
"25","91767"
"26","91106"
"27","58552"
"28","62513"
"29","60433"
"30","62615"
"31","60030"
"32","50062"
"33","52581"
"34","50116"
"35","67452"
"36","71454"
"37","21713"
"38","28734"
"39","93648"
"40","95310"
"41","91723"
"42","91755"
"43","81089"
"44","80030"
"45","60051"
"46","60175"
"47","52245"
"48","50035"
"49","56349"
"50","52224"
"51","50214"
"52","50843"
"53","52543"
"54","20706"
"55","21862"
"56","04348"
"57","04040"
"58","80110"
"59","80643"
"60","74948"
"61","80016"
"62","80124"
"63","06335"
"64","60073"
"65","62702"
"66","60060"
"67","51465"
"68","66870"
"69","67028"
"70","66218"
"71","03032"
"72","04091"
"73","20902"
"74","04496"
"75","04461"
"76","06375"
"77","06118"
"78","06473"
"79","06787"
"80","06248"
"81","06451"
"82","73439"
"83","62561"
"84","62214"
"85","62635"
"86","67017"
"87","67420"
"88","66754"
"89","50146"
"90","04457"
"91","04042"
"92","04572"
"93","03862"
"94","06073"
"95","06330"
"96","81241"
"97","62838"
"98","60970"
"99","62532"
"100","67060"
"101","66439"
"102","67460"
"103","67427"
"104","11229"
"105","01082"
"106","01760"
"107","01026"
"108","21778"
"109","21077"
"110","34761"
"111","33954"
"112","34240"
"113","33563"
"114","60959"
"115","30276"
"116","07974"
"117","62345"
"118","60008"
"119","60056"
"120","67548"
"121","40229"
"122","40272"
"123","21628"
"124","48209"
"125","01721"
"126","01904"
"127","03052"
"128","01821"
"129","01012"
"130","32145"
"131","33412"
"132","06010"
"133","06756"
"134","06085"
"135","34474"
"136","61723"
"137","62033"
"138","75412"
"139","62324"
"140","40489"
"141","41095"
"142","72201"
"143","72123"
"144","72760"
"145","72944"
"146","32773"
"147","33843"
"148","32081"
"149","75932"
"150","62418"
"151","62271"
"152","62872"
"153","40740"
"154","40515"
"155","91207"
"156","90011"
"157","91352"
"158","93701"
"159","95991"
"160","75633"
"161","34786"
"162","34289"
"163","34688"
"164","31810"
"165","46901"
"166","47320"
"167","46939"
"168","46049"
"169","67672"
"170","66213"
"171","75488"
"172","67347"
"173","90504"
"174","90650"
"175","92027"
"176","30228"
"177","30605"
"178","47975"
"179","47024"
"180","47456"
"181","41317"
"182","97459"
"183","40022"
"184","41659"
"185","95620"
"186","92110"
"187","30733"
"188","31051"
"189","30634"
"190","46121"
"191","46783"
"192","46562"
"193","98331"
"194","40873"
"195","40146"
"196","72824"
"197","95333"
"198","95128"
"199","30126"
"200","30046"
"201","30756"
"202","46203"
"203","47244"
"204","98353"
"205","47145"
"206","40037"
"207","42047"
"208","16055"
"209","19473"
"210","15238"
"211","56175"
"212","56083"
"213","55448"
"214","56442"
"215","24093"
"216","87562"
"217","08224"
"218","87111"
"219","27855"
"220","27812"
"221","18923"
"222","15120"
"223","16720"
"224","56003"
"225","39323"
"226","31557"
"227","24740"
"228","87579"
"229","88053"
"230","08758"
"231","27209"
"232","27938"
"233","18411"
"234","19390"
"235","02860"
"236","15228"
"237","15561"
"238","97138"
"239","38941"
"240","55310"
"241","38860"
"242","87023"
"243","10992"
"244","12209"
"245","12477"
"246","11427"
"247","28610"
"248","44264"
"249","16937"
"250","44865"
"251","19344"
"252","19606"
"253","19153"
"254","38745"
"255","38722"
"256","38856"
"257","10953"
"258","11218"
"259","10596"
"260","57641"
"261","11369"
"262","10458"
"263","12427"
"264","14065"
"265","58267"
"266","58281"
"267","58257"
"268","43044"
"269","17212"
"270","17026"
"271","15901"
"272","15433"
"273","15301"
"274","38756"
"275","38642"
"276","14836"
"277","10589"
"278","14812"
"279","58750"
"280","58641"
"281","45102"
"282","35150"
"283","15633"
"284","19152"
"285","15214"
"286","19440"
"287","16683"
"288","18452"
"289","39149"
"290","38627"
"291","65752"
"292","63057"
"293","36265"
"294","65078"
"295","11548"
"296","12084"
"297","11713"
"298","11746"
"299","58847"
"300","58520"
"301","16602"
"302","15340"
"303","15126"
"304","35053"
"305","44254"
"306","43711"
"307","65274"
"308","65360"
"309","65790"
"310","13810"
"311","14416"
"312","88126"
"313","11566"
"314","10461"
"315","36688"
"316","43728"
"317","58734"
"318","44614"
"319","58343"
"320","44889"
"321","43431"
"322","44032"
"323","39741"
"324","63447"
"325","63124"
"326","36742"
"327","12856"
"328","11001"
"329","10465"
"330","68726"
"331","13739"
"332","13042"
"333","14813"
"334","10503"
"335","43071"
"336","44830"
"337","30303"
"338","99669"
"339","43009"
"340","43931"
"341","43469"
"342","63041"
"343","64647"
"344","65604"
"345","63005"
"346","68527"
"347","69040"
"348","13324"
"349","36075"
"350","13345"
"351","13472"
"352","72131"
"353","49412"
"354","64017"
"355","64659"
"356","63750"
"357","64423"
"358","59830"
"359","59214"
"360","35559"
"361","10524"
"362","74748"
"363","43035"
"364","73165"
"365","48739"
"366","48380"
"367","48855"
"368","64466"
"369","03053"
"370","03275"
"371","99692"
"372","02830"
"373","68450"
"374","68816"
"375","68031"
"376","74962"
"377","45345"
"378","49886"
"379","48820"
"380","49082"
"381","89115"
"382","99662"
"383","03860"
"384","08403"
"385","07869"
"386","64441"
"387","59338"
"388","11225"
"389","74332"
"390","73092"
"391","74060"
"392","48455"
"393","85646"
"394","49060"
"395","89430"
"396","03856"
"397","03287"
"398","03887"
"399","03261"
"400","03817"
"401","28704"
"402","28778"
"403","14462"
"404","86434"
"405","74860"
"406","73487"
"407","74145"
"408","73566"
"409","55313"
"410","55352"
"411","68358"
"412","08882"
"413","29926"
"414","03465"
"415","71852"
"416","03818"
"417","12985"
"418","27615"
"419","15057"
"420","97214"
"421","97034"
"422","55388"
"423","56725"
"424","56357"
"425","55368"
"426","72223"
"427","55102"
"428","89014"
"429","87001"
"430","14870"
"431","28227"
"432","27028"
"433","12092"
"434","28371"
"435","15613"
"436","97223"
"437","71638"
"438","15052"
"439","56362"
"440","56069"
"441","08098"
"442","87552"
"443","14507"
"444","13209"
"445","13674"
"446","27510"
"447","97824"
"448","31804"
"449","71865"
"450","15085"
"451","76890"
"452","76660"
"453","75415"
"454","76114"
"455","78643"
"456","25088"
"457","25130"
"458","25093"
"459","25639"
"460","71772"
"461","24946"
"462","98168"
"463","57585"
"464","29849"
"465","75602"
"466","78623"
"467","78204"
"468","79381"
"469","26519"
"470","25160"
"471","93254"
"472","24894"
"473","24826"
"474","82432"
"475","57623"
"476","37312"
"477","75566"
"478","37178"
"479","24870"
"480","25125"
"481","05822"
"482","93604"
"483","25183"
"484","53952"
"485","37075"
"486","37804"
"487","29074"
"488","37692"
"489","78751"
"490","38016"
"491","76251"
"492","25534"
"493","95963"
"494","25022"
"495","25411"
"496","26266"
"497","99185"
"498","37366"
"499","57260"
"500","37880"
"501","78142"
"502","38104"
"503","26374"
"504","94534"
"505","25515"
"506","54928"
"507","82411"
"508","54129"
"509","37150"
"510","37814"
"511","37848"
"512","38260"
"513","78343"
"514","37762"
"515","95338"
"516","99032"
"517","98650"
"518","82845"
"519","62092"
"520","53405"
"521","37060"
"522","37016"
"523","75756"
"524","37175"
"525","25420"
"526","95642"
"527","24881"
"528","26136"
"529","61232"
"530","30251"
"531","62520"
"532","65325"
"533","37080"
"534","15357"
"535","15845"
"536","79035"
